#options: 640x360 fps=20/1 timebase=1/20 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=20 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:101 out:101 type:P dur:2 cpbdur:2 q:27.63 aq:22.23 tex:70004 mv:4756 misc:976 imb:257 pmb:364 smb:299 d:- ref:0 ;
in:102 out:102 type:P dur:2 cpbdur:2 q:27.63 aq:22.12 tex:3392 mv:784 misc:584 imb:52 pmb:72 smb:796 d:- ref:0 ;
in:103 out:103 type:P dur:2 cpbdur:2 q:27.63 aq:22.39 tex:59901 mv:6798 misc:989 imb:580 pmb:178 smb:162 d:- ref:0 ;
in:104 out:104 type:P dur:2 cpbdur:2 q:27.63 aq:20.71 tex:47798 mv:6753 misc:1001 imb:512 pmb:209 smb:199 d:- ref:0 ;
in:105 out:105 type:P dur:2 cpbdur:2 q:27.63 aq:19.99 tex:1940 mv:767 misc:557 imb:50 pmb:57 smb:813 d:- ref:0 ;
in:106 out:106 type:P dur:2 cpbdur:2 q:27.63 aq:21.64 tex:30087 mv:6803 misc:998 imb:555 pmb:159 smb:206 d:- ref:0 ;
in:107 out:107 type:P dur:2 cpbdur:2 q:27.63 aq:21.83 tex:26813 mv:6873 misc:986 imb:517 pmb:185 smb:218 d:- ref:0 ;
in:108 out:108 type:P dur:2 cpbdur:2 q:27.63 aq:21.00 tex:29661 mv:7949 misc:998 imb:456 pmb:295 smb:169 d:- ref:0 ;
in:109 out:109 type:P dur:2 cpbdur:2 q:27.63 aq:22.49 tex:2318 mv:429 misc:501 imb:19 pmb:61 smb:840 d:- ref:0 ;
in:110 out:110 type:P dur:2 cpbdur:2 q:27.63 aq:20.32 tex:44680 mv:8832 misc:992 imb:669 pmb:240 smb:11 d:- ref:0 ;
in:111 out:111 type:P dur:2 cpbdur:2 q:27.63 aq:20.29 tex:1121 mv:249 misc:382 imb:15 pmb:29 smb:876 d:- ref:0 ;
in:112 out:112 type:P dur:2 cpbdur:2 q:27.63 aq:21.80 tex:26662 mv:6658 misc:1016 imb:497 pmb:206 smb:217 d:- ref:0 ;
in:113 out:113 type:P dur:2 cpbdur:2 q:27.63 aq:21.53 tex:30414 mv:6849 misc:993 imb:490 pmb:237 smb:193 d:- ref:0 ;
in:114 out:114 type:P dur:2 cpbdur:2 q:27.63 aq:21.16 tex:36660 mv:6414 misc:966 imb:370 pmb:282 smb:268 d:- ref:0 ;
in:115 out:115 type:P dur:2 cpbdur:2 q:27.63 aq:19.33 tex:1712 mv:449 misc:463 imb:22 pmb:51 smb:847 d:- ref:0 ;
in:116 out:116 type:P dur:2 cpbdur:2 q:27.63 aq:22.02 tex:49436 mv:6772 misc:960 imb:355 pmb:338 smb:227 d:- ref:0 ;
in:117 out:117 type:P dur:2 cpbdur:2 q:27.63 aq:21.75 tex:1262 mv:429 misc:445 imb:27 pmb:43 smb:850 d:- ref:0 ;
in:118 out:118 type:P dur:2 cpbdur:2 q:27.63 aq:23.92 tex:87233 mv:8818 misc:989 imb:474 pmb:372 smb:74 d:- ref:0 ;
in:119 out:119 type:P dur:2 cpbdur:2 q:27.63 aq:22.08 tex:2371 mv:468 misc:513 imb:13 pmb:78 smb:829 d:- ref:0 ;
